trading_name,ticker
Addvalue 6%271104#^,MYLB.SI
Advanced,BLZ.SI
Advancer Global,43Q.SI
Aedge Group,XVG.SI
AEM USD,XWA.SI
AGV,1A4.SI
AIA 5xLongSG241213,DWGW.SI
AIA 5xLongSG250423,KLOW.SI
AIA 5xLongUB250430,QPCW.SI
AIA MBeCW240703,JMBW.SI
AIA MBeCW240903,ZM2W.SI
AJJ Medtech,584.SI
Alibab3xShortUB250428US$,VUQW.SI
Alibaba 5xLongSG250924,9O5W.SI
Alibaba 5xLongUB241231,WA9W.SI
Alibaba 5xLongUB250430,XBFW.SI
Alibaba 5xShortUB251127,ZWAW.SI
Alibaba AutocallSG240903,WGX.SI
Alibaba AutocallSG241003,EEJ.SI
Alibaba AutocallSG250402,5YZ.SI
Alibaba MB eCW240703,9KMW.SI
Alibaba MB eCW241203,Y5AW.SI
Alita Resources,40F.SI
Alliance HC,MIJ.SI
AlphaDX,VVL.SI
Amcorp Global,S9B.SI
AMTD IDEA OV,HKB.SI
AnnAik W241009,VAIW.SI
Annica,5AL.SI
ANTA 5xLongSG240620,DBPW.SI
ANTA 5xLongUB250430,QTTW.SI
ANTA 5xShortUB250430,OMYW.SI
Aoxin Q & M,1D4.SI
AP Strategic,5RA.SI
Ascent Bridge^,AWG.SI
Asia Enterprises,A55.SI
Asia Vets,5RE.SI
AsiaPhos R,VVQR.SI
AsiaPhos R,VVQR.SI
AsiaPhos R1,98XR.SI
AsiaPhos R1,98XR.SI
Aspial Lifestyle,5UF.SI
Astaka,42S.SI
ASTI^,575.SI
Astrea V3.85%B290620#,5A1B.SI
Astrea7B 6%320527#,V7BB.SI
AusGroup,5GJ.SI
Avi-Tech Hldg,1R6.SI
AVJennings A$,A05.SI
B&M Hldg^,CJN.SI
Baidu 5xShortSG240709,DVMW.SI
Ban Leong,B26.SI
BBR,KJ5.SI
BH Global,BQN.SI
BIDU ADR US$+,K3SD.SI
BlackGoldNatural,41H.SI
Boldtek,5VI.SI
Brook Crompton,AWC.SI
BYD 5xLongSG250904,DKOW.SI
BYD 5xLongSG251216,VLSW.SI
BYD 5xLongUB241231,QFYW.SI
BYD 5xLongUB250321,FOFW.SI
BYD 5xLongUB250430,NUIW.SI
BYD 5xLongUB250930,EPVW.SI
BYD 5xShortUB241231,VJLW.SI
BYD 5xShortUB250430,LBPW.SI
BYD 5xShortUB251031,RRQW.SI
BYD AutocallSG241217,QAC.SI
BYD MB eCW240703,V2BW.SI
BYD MB ePW240903,XGLW.SI
BYD MB ePW241203,OXCW.SI
BYD3xLongUB250428US$,RHBW.SI
BYD3xShortUB250428US$,HNVW.SI
Camsing Hc,BAC.SI
CapAllianz,594.SI
CapitaInvMBeCW2410022.65,XJRW.SI
Capital World,1D5.SI
CapitalandAscMBeCW240628,FXRW.SI
CapitalandAscMBeCW241105,54DW.SI
CapitalandAscMBeCW241107,WEBW.SI
CapitalandInvMBeCW240731,99RW.SI
CapitalandInvMBeCW241002,HOYW.SI
Captii,AWV.SI
CCB 5xLongSG240807,DWCW.SI
CCB 5xLongUB250430,JRTW.SI
CCB 5xShortUB250430,WCQW.SI
CF VN 30 SC ETF US$,VND.SI
CGS FG CSI1000 US$,GRU.SI
Charisma Energy,5QT.SI
Chemical Ind,C05.SI
China Env,5OU.SI
China Fishery,B0Z.SI
China Intl,BEH.SI
ChinaKangdaFood,P74.SI
ChinaKundaTech,GU5.SI
Choo Chiang,42E.SI
CityDev 5xShortSG241218,DWFW.SI
CityDev MBeCW240801,RGCW.SI
CityDev MBeCW241002,FSKW.SI
CITYDEV NCCPS,C70.SI
CLIFE 5xLongUB250430,92FW.SI
CLIFE 5xShortUB250430,ISFW.SI
CMB 5xLongSG251023,MDWW.SI
CMB 5xLongUB250430,45IW.SI
CMB 5xLongUB251031,SNSW.SI
CMB 5xShortSG250320,YVAW.SI
CMB 5xShortUB250430,X8AW.SI
CMOB 5xLongSG250213,DTMW.SI
CMOB 5xLongUB251031,Z5MW.SI
CMOB 5xShortSG250515,HIOW.SI
CNOOC 5xLongSG250423,5XFW.SI
CNOOC 5xLongSG251113,DKVW.SI
CNOOC 5xShortSG241030,DLHW.SI
CNOOC 5xShortUB250228,9HNW.SI
Comba,STC.SI
Combine Will,N0Z.SI
ComfortDel MBeCW240731,ZTQW.SI
Cortina,C41.SI
COSCO 5xLongSG250626,DEWW.SI
COSCO 5xShortUB250430,PISW.SI
COSCO 5xShortUB251127,WXGW.SI
Courage Inv,CIN.SI
CSOP DIV ETF S$,SHD.SI
CSOP iEdge SREIT ETF US$,SRU.SI
CSOP LOW CARBON S$,LCS.SI
CSOP SEA TECH ETF US$,SQU.SI
CSOP Star&Chinext50 S$,SCY.SI
Datapulse Tech W271128^,96DW.SI
DBS 5xLongSG250226,DENW.SI
DBS 5xLongSG250716,DROW.SI
DBS 5xLongUB250530,SNVW.SI
DBS MB eCW240701,8R9W.SI
DBS MB eCW240724,SGEW.SI
DBS MB ePW240701,OEEW.SI
DBS MB ePW240708,FPKW.SI
DBS MB ePW240902,RJAW.SI
DBS MB ePW240909,WY3W.SI
DBS MB ePW241001,FPPW.SI
Debao Property^,BTF.SI
DISA,532.SI
DJIA 32800MBePW240621,KEQW.SI
DJIA 35000MBePW240621,LVDW.SI
DJIA 36500MBePW241220,FESW.SI
DJIA 37500MBePW240920,IPAW.SI
DJIA 3XLongSG241205US$,CVLW.SI
DJIA 3XShortSG241205US$,CUZW.SI
DJIA 41500MBeCW240621,HSJW.SI
DJIA 42000MBeCW241220,51AW.SI
DJIA 44500MBeCW240920,93VW.SI
DJIA 5xLongSG250911,CUJW.SI
DJIA 5xLongSG250911A,CWIW.SI
DJIA 5xLongUB250922,ZSAW.SI
DJIA 5xShortSG250911,CVFW.SI
DJIA 5xShortSG250911A,CUMW.SI
DJIA 5xShortUB250922,97XW.SI
DJIA 7xLongSG241016,CURW.SI
DJIA 7xLongSG260226,UDOW.SI
DJIA 7xLongUB250922,DSRW.SI
DJIA 7xShortSG241016,CUQW.SI
DJIA 7xShortSG260324,Y0ZW.SI
DJIA 7xShortSG261029,CZVW.SI
DJIA 7xShortUB250922,YZEW.SI
DJIA 7xShortUB261221,Y1WW.SI
Don Agro,GRQ.SI
Dragon^,MT1.SI
Eagle HTrust USD,LIW.SI
EC World Reit,BWCU.SI
Econ Healthcare,EHG.SI
EcoWise,5CT.SI
Edition,5HG.SI
EnGro,S44.SI
Envictus,BQD.SI
ETC Singapore,1C0.SI
EuroSports Gbl,5G1.SI
Ezra,5DN.SI
Falcon Energy,5FL.SI
Far East,5TJ.SI
Figtree,5F4.SI
First Sponsor,ADN.SI
First Sponsor W290321,RAYW.SI
Forise Int,8A1.SI
FortressMinerals,OAJ.SI
Fuji Offset,508.SI
Full Apex^,BTY.SI
Fuxing China,AWK.SI
Galaxy 5xLongUB250430,SYBW.SI
Galaxy 5xShortSG250205,DHXW.SI
Galaxy 5xShortUB250430,HDTW.SI
Ganfeng 5xLongSG250423,Y4GW.SI
Ganfeng 5xShortSG240709,DYIW.SI
GanfengLit MB eCW241203,LLYW.SI
GCCP,41T.SI
GDR UPL US$,BYS.SI
GDS Global,5VP.SI
Geely 5xLongUB250228,JMFW.SI
Geely 5xShortUB250127,NEAW.SI
Geely 5xShortUB250228,5L7W.SI
Geely 5xShortUB250430,IOKW.SI
Geely MB ePW240903,LANW.SI
GentingSMBeCW240626,9MSW.SI
GentingSMBeCW241030,QMLW.SI
Green Build^,Y06.SI
GRP^,BLU.SI
GS Hldg,43A.SI
GSH,BDX.SI
GSH cb5.2%241012#,Y6OB.SI
Hai Leck,BLH.SI
Halcyon Agri,5VJ.SI
HBC ADR US$,PU6D.SI
HealthBank,40B.SI
Heatec Jietong,5OR.SI
Hengyang Petro,5PD.SI
HKEx 5xShortSG250205,DCQW.SI
HKEx 5xShortUB250228,UPRW.SI
HL Global Ent,AVX.SI
Hor Kew,BBP.SI
HPL,H15.SI
HS Optimus,504.SI
HSBC 5xLongSG250203,DOCW.SI
HSBC 5xLongUB250228,XKJW.SI
HSBC 5xShortSG241213,DTIW.SI
HSBC 5xShortUB250228,YCPW.SI
HSBC MBeCW241203,ZSZW.SI
HSBC MBePW241203,OXAW.SI
HSBC MBePW241203 62,GKDW.SI
HSCEI 5xLongSG240912,CVGW.SI
HSCEI 5xShortSG240912,CWKW.SI
HSCEI 7xLongSG241114,CZIW.SI
HSCEI 7xLongSG250304,CZOW.SI
HSCEI 7xLongUB250430,EBEW.SI
HSCEI 7xLongUB251031,XWEW.SI
HSCEI 7xShortSG251029,CVRW.SI
HSCEI 7xShortUB250430,WTNW.SI
HSI 13200MBePW240627,9HHW.SI
HSI 14400MBePW240627,VVBW.SI
HSI 15000MBePW250328,JLDW.SI
HSI 15500MBePW241230,Y7VW.SI
HSI 15600MBePW240627,KKQW.SI
HSI 16400MBePW240627,ZSVW.SI
HSI 17400MBePW240627,MHYW.SI
HSI 17800MBeCW240627,ZY4W.SI
HSI 18200MBePW240627,HGYW.SI
HSI 18600MBeCW240627,YIHW.SI
HSI 19000MBePW240627,96WW.SI
HSI 19000MBePW240829,9JKW.SI
HSI 19200MBeCW240627,GHWW.SI
HSI 20000MBeCW240627,VMHW.SI
HSI 20800MBeCW240627,8U1W.SI
HSI 21800MBeCW240627,Y1NW.SI
HSI 22000MBeCW241230,50OW.SI
HSI 5xShortSG240912,CZJW.SI
HSI 5xShortSG241030,CXKW.SI
HSI 5xShortSG261029,CZRW.SI
HSI 5xShortUB250430,QXPW.SI
HSI 7xLongSG241030,CWLW.SI
HSI 7xLongUB241231,KNXW.SI
HSI 7xLongUB250228,IFDW.SI
HSI 7xShortSG241218,CVIW.SI
HSI 7xShortUB250228,QGGW.SI
HSI 7xShortUB251031,LMKW.SI
HSI3xLongMA260327US$,HHHW.SI
HSTECH 3000MBePW240627,TGMW.SI
HSTECH 3200MBePW240730,VEVW.SI
HSTECH 3400MBePW240627,FMGW.SI
HSTECH 3400MBePW240927,V9UW.SI
HSTECH 3600MBeCW240730,WBTW.SI
HSTECH 3800MBePW240627,XDTW.SI
HSTECH 4000MBeCW240627,ZWUW.SI
HSTECH 4200MBeCW240730,MGLW.SI
HSTECH 4300MBeCW240927,Z4XW.SI
HSTECH 4400MBeCW240730,5T9W.SI
HSTECH 4650MBeCW240627,FHTW.SI
HSTECH 4800MBeCW240627,EYFW.SI
HSTECH 5xLongUB250430,SHWW.SI
HSTECH 5xLongUB251031,VT6W.SI
HSTECH 5xShortUB250430,OOPW.SI
HSTECH 5xShortUB251031,WRNW.SI
HSTECH 6000MBeCW240627,ULDW.SI
HSTECH 7xLongUB240830,RJRW.SI
HSTECH 7xShortSG251216,EHNW.SI
Hyflux,600.SI
Hyflux 6% CPS#,N2H.SI
Hyflux 6% PerCapSec#,BTWZ.SI
ICBC CSOP CGB ETF US$A,CYX.SI
IFS Capital,I49.SI
Imperium Crown,5HT.SI
Incredible,RDR.SI
Incredible W240204,W1XW.SI
Inv Beve Biz EURO S,J0T.SI
IPS Securex,42N.SI
IREIT Global EUR,8U7U.SI
ISEC,40T.SI
ISHARES AXJCLIMATE US$,ICU.SI
IX BiopharmaR,WG9R.SI
IX BiopharmaR,WG9R.SI
IX BiopharmaR1,9Q9R.SI
IX BiopharmaR1,9Q9R.SI
Jadason^,J03.SI
Japan Foods,5OI.SI
Jason Marine,5PF.SI
Jawala,1J7.SI
JB Foods,BEW.SI
JD 5xLongUB250127,8Y2W.SI
JD 5xLongUB250228,EHUW.SI
JD 5xLongUB250930,IFAW.SI
JD 5xShortUB250430,OVVW.SI
JD AutocallSG241003,TDQ.SI
JD AutocallSG250603,RYX.SI
JD MB eCW241203,GUDW.SI
JD MB ePW240903,97MW.SI
JD MB ePW241104,QPNW.SI
JES Intl,EG0.SI
Joyas Intl,E9L.SI
Jumbo,42R.SI
Karin Tech,K29.SI
Katrina,1A0.SI
Katrina W281008,A95W.SI
Kencana Agri,BNE.SI
Keong Hong^,5TT.SI
Keppel 5xShortSG250716,DQYW.SI
Khong Guan,K03.SI
KOP,5I1.SI
Koyo Intl,5OC.SI
KrisEnergy,SK3.SI
KrisEnergy W240131,CDXW.SI
KrisEnergy z240131,CDVZ.SI
KTL Global^,EB7.SI
KTMG,XCF.SI
Kuaisho 5xLongUB250228,LXDW.SI
Kuaisho 5xLongUB251031,FIMW.SI
Kuaisho 5xShortUB250228,KGRW.SI
Kuaisho 5xShortUB251127,YMAW.SI
Kuaisho MB eCW241104,ILRW.SI
Lenovo 5xLongUB250430,RYQW.SI
Lenovo 5xShortUB250430,XBJW.SI
LifeBrandz W240621,NCXW.SI
Lincotrade,BFT.SI
LiNing 5xLongUB251128,IFHW.SI
LiNing MBeCW240903,58KW.SI
Lion Asiapac,BAZ.SI
Lion-OSPL China L CNY,YYR.SI
Lion-OSPL Low Carbon US$,ESU.SI
Livingstone,PRH.SI
Livingstone R1,W2BR.SI
Livingstone R1,W2BR.SI
LMS Compliance,LMS.SI
Lonza,O6Z.SI
Lorenzo Intl,5IE.SI
Luminor,5UA.SI
Luxking,BKK.SI
LY Corp,1H8.SI
Maiwai Fund USD S,TY3.SI
MapleLogTr MB eCW240628,MAMW.SI
MapleLogTr MB eCW240902,JUVW.SI
MaplePanTr MB eCW240628,ZYLW.SI
Maruwa Yen1k,M12.SI
Mary Chia,5OX.SI
Matex Intl,M15.SI
Medinex,OTX.SI
MegaChem,5DS.SI
MeGroup,SJY.SI
Meituan 5xLongUB241231,LQRW.SI
Meituan 5xLongUB250228,NMCW.SI
Meituan 5xLongUB251031,ECAW.SI
Meituan 5xShortUB250228,UORW.SI
Meituan 5xShortUB250430,FBXW.SI
Meituan 5xShortUB251031,FWQW.SI
Meituan MB eCW240703,SOOW.SI
Meituan MB eCW240903,GSVW.SI
Meituan MB eCW241203,JGQW.SI
Meituan MB eCW241203 95,NLJW.SI
Meituan MB ePW241104,MOWW.SI
Mercurius,5RF.SI
Meta Health,5DX.SI
Metech Intl,V3M.SI
Mewah Intl,MV4.SI
MFG ADR US$,N6DD.SI
MFG Integration^,M11.SI
Midas,5EN.SI
Mooreast,1V3.SI
MSC,NPW.SI
MSCIJP3xLongMA270212US$,JLJW.SI
MSCIJP3xShortMA270212US$,PYKW.SI
MSM Intl,5QR.SI
MTU ADR US$,N5YD.SI
Mun Siong Engg,MF6.SI
Murata Yen1k,PJX.SI
MYP,F86.SI
N520100A 251101,QGES.SI
N521100V 261101,IRRS.SI
N522100N 270901,EJUS.SI
N523100W 280801,SHVS.SI
N524100X 290401,FYFS.SI
NA12100N 420401,PH1S.SI
NA16100H 460301,BJGS.SI
NA20100F 500301,ZL8S.SI
NA21200W 511001,ZFGS.SI
NA24300E 540601,9W8B.SI
NASDAQ 13500MBePW240621,LBXW.SI
NASDAQ 16000MBePW240621,SXWW.SI
NASDAQ 16800MBePW240920,V9JW.SI
NASDAQ 18500MBePW241220,UUZW.SI
NASDAQ 19000MBeCW240621,SRDW.SI
NASDAQ 21000MBeCW240621,QHDW.SI
NASDAQ 22000MBeCW241220,IHJW.SI
Nasdaq 5xLongSG251216,ITXW.SI
Nasdaq 5xLongUB250922,EVMW.SI
Nasdaq 5xShortSG251216,POQW.SI
Nasdaq 5xShortUB250922,NPNW.SI
Nasdaq 7xLongSG241016,CUPW.SI
Nasdaq 7xLongSG260226,TQQW.SI
Nasdaq 7xLongUB250922,9ZIW.SI
Nasdaq 7xShortSG241016,CUNW.SI
Nasdaq 7xShortSG241218,CZZW.SI
Nasdaq 7xShortUB250623,1Q8W.SI
Nasdaq 7xShortUB250922,92NW.SI
Nasdaq3xLongMA260327US$,QQQW.SI
Nasdaq3xShortMA260327US$,IQQW.SI
NauticAWT,42D.SI
Net Pacific Fin,5QY.SI
NetEase 5xShortSG250205,DFRW.SI
NetEase 5xShortSG250320,52PW.SI
NetEase 5xShortUB250228,UFSW.SI
NetEase 5xShortUB250321,GHCW.SI
NetEase 5xShortUB251128,SLVW.SI
New Silkroutes,BMT.SI
NIKKOAM-ICBCSG CNB CNY,ZHY.SI
NIKKOAM-ICBCSG CNB S$,ZHS.SI
NIKKOAM-ICBCSG CNB US$,ZHD.SI
NikkoAM-STC CN EV US$,EVD.SI
Niks Prof,NPL.SI
NIO MBeCW240821,JEDW.SI
NIO MBeCW241120,YRKW.SI
NKY 31500MBePW240913,X8IW.SI
NKY 35000MBePW240913,NZTW.SI
NKY 35500MBeCW240913,KFEW.SI
NKY 38000MBePW240913,1W0W.SI
NKY 39000MBeCW240913,XONW.SI
NKY 42000MBeCW240913,TGDW.SI
Noel Gifts Intl,543.SI
Nomura Yen1k,N33.SI
NoonTalk Media,SEJ.SI
Ntegrator Hldg,WVJ.SI
NTES ADR US$+,K3MD.SI
NutryFarm,AZT.SI
NX15100Z 250601,AFUS.SI
NX16100F 260601,BJHS.SI
NX18100A 280501,CMGS.SI
NX21100N 310701,RXYS.SI
NX22100W 320801,EAPS.SI
NX24100T 340501,STTS.SI
NY09100H 240901,3UJS.SI
NY14100E 290701,T8FS.SI
NZ07100S 270301,7QQS.SI
NZ10100F 300901,OL9S.SI
NZ13100V 330901,R1NS.SI
NZ16100X 360801,BJIS.SI
NZ19100S 390701,8YLS.SI
OCBC 5xLongSG250226,DIOW.SI
OCBC 5xLongSG251023,DIFW.SI
OCBC Bk MB eCW240701,TBEW.SI
OCBC Bk MB eCW240724,YRCW.SI
OCBC Bk MB ePW240708,WB3W.SI
OCBC Bk MB ePW240902,PPMW.SI
OIO,KUX.SI
Olive Tree,1H2.SI
OneApex,5SY.SI
Ouhua Energy,AJ2.SI
Pacific Andes,P11.SI
Pacific RadianceW270919,IZGW.SI
Pan Hong,P36.SI
Pasture Holdings,UUK.SI
Pavillon,596.SI
PEC,IX2.SI
Penguin Intl,BTM.SI
PetroCH 5xShortSG250410,DZSW.SI
PetroCH 5xShortUB250430,9PPW.SI
Pharmesis Intl,BFK.SI
PHIL AP DIV REIT S$D,BYJ.SI
PHIL AP DIV REIT US$,BYI.SI
PHIL Long SiMSCI2X S$,LSS.SI
PHIL Long SiMSCI2X US$,LSU.SI
PHIL Short SiMSCI-1X S$,SSS.SI
PHIL Short SiMSCI-1X US$,SSU.SI
PHIL-CU MS CHINA A50 US$,MCS.SI
PHILLIP MM US$D,MMT.SI
PingAn 5xLongSG251216,YJZW.SI
PingAn 5xLongUB250228,X5HW.SI
PingAn 5xShortSG241114,DKQW.SI
PingAn 5xShortUB250228,WNLW.SI
PingAn AutocallSG250703,EAM.SI
PingAn MB eCW240703,FKBW.SI
PingAn MB eCW240903,Z8QW.SI
PingAn MB eCW241203,RQWW.SI
PingAn MB ePW241003,JWGW.SI
PNE Industries,BDA.SI
Polaris,5BI.SI
PRINCIPAL ASEAN40 US$,M62.SI
PRINCIPAL S&P AP DIV S$D,QR9.SI
Qian Hu,BCV.SI
Raffles Infrastructure^,LUY.SI
Reclaims Global,NEX.SI
Regal Intl,UV1.SI
Renaissance United^,I11.SI
ResourcesGbl,V7R.SI
Revez,RCU.SI
Rich Capital,5G4.SI
S&P 4200MBePW240621,EBSW.SI
S&P 4800MBePW240621,TBNW.SI
S&P 4900MBePW240920,VJWW.SI
S&P 5200MBeCW240621,RLTW.SI
S&P 5700MBeCW240920,TDPW.SI
S&P 5800MBeCW240621,UIOW.SI
S&P 5xLongSG250228,CUEW.SI
S&P 5xShortSG250228,CXBW.SI
S&P 5xShortSG250228A,CZEW.SI
S&P 7xLongSG241016,CYIW.SI
S&P 7xLongSG260226,SPXW.SI
S&P 7xShortSG241218,CUTW.SI
S&P3xLongMA260327US$,PPPW.SI
S&P3xShortMA260327US$,ISPW.SI
Sakae,5DO.SI
Samko Timber,E6R.SI
Samurai 2K,Y8E.SI
Sands 5xLongSG250515,VYUW.SI
Sands 5xLongSG250626,DUPW.SI
Sands 5xShortSG250320,HYNW.SI
Sands 5xShortUB250930,VA2W.SI
Sands MB eCW240802,PXRW.SI
Sands MB eCW241003,9WIW.SI
Santak,580.SI
SATS 5xLongSG250515,DDSW.SI
SATS MB eCW241002,STBW.SI
SATS MB eCW241030,Q80W.SI
SDAI,5TI.SI
Sea ADS MBeCW240731,NDCW.SI
Secura,43B.SI
Sembcorp 5xShortSG250515,DGMW.SI
SembInd MBeCW240801,NYNW.SI
SembInd MBeCW241107,IQPW.SI
SembInd MBePW240628,OAAW.SI
SembInd MBePW240902,SBTW.SI
Sen Yue,5BS.SI
Serial Achieva,XHV.SI
Sevens Atelier,5EW.SI
SGX 5xLongSG251216,VHGW.SI
Shanaya,SES.SI
Shanghai Turbo^,AWM.SI
Sheffield Green,SGR.SI
Shen Yao,A78.SI
Shenshan,BKV.SI
Shopper360,1F0.SI
SIA 2021 MCBz300608#,YQ7B.SI
SIA 5xLongSG251216,IIIW.SI
SIA 5xLongUB250530,HLKW.SI
SIA 5xShortUB250530,V6QW.SI
SIA MB eCW240801,ZL1W.SI
SIA MB eCW241030,NASW.SI
SIMSCI 250MBePW240930,EVNW.SI
SIMSCI 280MBePW240930,GIWW.SI
SIMSCI 295MBeCW240930,MWDW.SI
SIMSCI 325MBeCW240930,NDRW.SI
SiMSCI 5xLongSG260226,CVJW.SI
SiMSCI 7xLongSG260226,CYNW.SI
SiMSCI 7xShortSG261029,CYZW.SI
Sin Heng Mach,BKA.SI
Sincap,5UN.SI
Sing Inv & Fin,S35.SI
Sing Paincare,FRQ.SI
SingaporeKitchen,5WG.SI
SingShipping,S19.SI
Singtel 5xLongSG251113,DRVW.SI
Singtel 5xShortSG241218,DVZW.SI
SingtelMBeCW240626,ONLW.SI
Sino Grandness,T4B.SI
SinoCloud Grp,LYY.SI
Sinostar Pec,C9Q.SI
SLB Dev,1J0.SI
Soon Lian,5MD.SI
Soup Holdings,5KI.SI
Southern Pkg,BQP.SI
SouthernAlliance,QNS.SI
SPDR DJIA US$,D07.SI
Sri Trang Gloves,STG.SI
STI 2xLongSG250529,CUGW.SI
STI 2xShortSG250529,CXGW.SI
STI 5xLongSG250529,CVEW.SI
STI 7xLongSG250529,CWHW.SI
STI 7xShortSG250529,CZGW.SI
SunMoonFood,AAJ.SI
Sunny 5xLongSG241126,DURW.SI
Sunny 5xLongSG250423,VC7W.SI
Sunny 5xLongSG250904,DZVW.SI
Sunny 5xLongUB250127,HBWW.SI
Sunny 5xLongUB250321,TCHW.SI
Sunny 5xLongUB250430,RNXW.SI
Sunny 5xLongUB250630,W6LW.SI
Sunny 5xLongUB250930,HIEW.SI
Sunny 5xShortUB250430,8YIW.SI
Sunny MB eCW240703,QRNW.SI
Sunny MB eCW241203,933W.SI
Sunrise Shares,581.SI
Suntar Eco-City,BKZ.SI
TA,PA3.SI
Tai Sin Electric,500.SI
Teho Intl,5OQ.SI
Tencen3xLongUB250428US$,MVLW.SI
Tencen3xShortUB250428US$,8R7W.SI
Tencent 5xLongSG251216,ZS6W.SI
Tencent 5xLongUB241231,TSGW.SI
Tencent 5xShortUB241231,TYTW.SI
Tencent 5xShortUB250228,9QEW.SI
TencentMBePW240903,WHHW.SI
TencentMBePW241104,WNNW.SI
Tiong Seng^,BFI.SI
Tiong Woon,BQM.SI
TM ADR US$,N6FD.SI
Tosei,S2D.SI
Travelite,BCZ.SI
TrickleStar,CYW.SI
TRIP ADR US$+,K3RD.SI
Tritech,5G9.SI
Triyards,RC5.SI
TSH,KUH.SI
TT Intl,T09.SI
Tung Lok Rest,540.SI
Tye Soon,BFU.SI
UETF SSE50China,JK8.SI
United Food^,AZR.SI
Universal Res,BGO.SI
UOA,EH5.SI
UOB 5xLongSG251023,DHHW.SI
UOB 5xLongUB250530,PMGW.SI
UOB AP GRN REIT US$,GRE.SI
UOB MB eCW240701,ZHXW.SI
UOB MB eCW240724,EXFW.SI
UOB MB ePW240708,TQTW.SI
UOB MB ePW240917,KRUW.SI
UOBAM PINGAN CHINEXT US$,CXU.SI
USP Group^,BRS.SI
V2Y Corp,V2Y.SI
VibroPower,BJD.SI
VibroPower W250116,PBSW.SI
Vividthree,OMK.SI
White Orchid Fund S,BBT.SI
Wilmar 5xShortSG250320,X6CW.SI
Wilmar MB eCW240626,OGNW.SI
Wilmar MB eCW241002,1XZW.SI
World Precision,B49.SI
WuxiBio 5xShortUB250321,QJDW.SI
WuxiBio 5xShortUB250430,SMIW.SI
WuxiBio 5xShortUB251128,WYBW.SI
WuxiBio MBeCW240703,UYIW.SI
WuxiBio MBeCW240802,MSPW.SI
WuxiBio MBeCW241203,QKPW.SI
WuxiBio MBeCW241203 22,W4UW.SI
WuxiBio MBePW240703,QIYW.SI
WuxiBio MBePW241203,NBAW.SI
Xiaomi 5xShortSG250515,8W1W.SI
Xiaomi 5xShortUB250228,ITQW.SI
Xiaomi 5xShortUB250321,GUVW.SI
Xiaomi AutocallSG250703,NUB.SI
XIAOMI MBeCW241203,HFQW.SI
XIAOMI MBePW240802,LYRW.SI
XPeng 5xLongSG250306,DUYW.SI
XT MS SING US$,O9A.SI
XT MSCHINA US$,LG9.SI
XT MSINDO US$,KJ7.SI
XT Vietnam US$,HD9.SI
YangzijiMBeCW240626,NOMW.SI
YangzijiMBeCW241018,FVUW.SI
Ying Li Intl,5DM.SI
Yongmao,BKX.SI
Yongnam,AXB.SI
Yunnan Energy,T43.SI
YuuZoo Networks,AFC.SI
YZJ 5xShortSG250716,DPTW.SI
YZJ Shipbldg CNY,SO7.SI
Zhongmin Baihui,5SR.SI
Zhongxin Fruit,5EG.SI
ZICO Hldgs,40W.SI
Zixin W260623,46CW.SI
